"","name","religion","geometry"
"245","Shepherds Bush Mosque and Muslim Cultural Centre","muslim",c(-0.231376064035796, 51.5065941541471)
"246","Gurdwara Neville Road","sikh",c(0.024189, 51.5373458)
"247","Gurdwara Dasmesh Darbar","sikh",c(0.0559463, 51.5438525)
"248","Guru Nanak Durbar Sikh Temple","sikh",c(0.1610411, 51.4905026)
"249","Gurdwara Singh Sabha","sikh",c(0.0753296, 51.5399973)
"250","Nanak Darbar North London","sikh",c(-0.1398208, 51.6144337)
"251","Gurdwara Sikh Sangat","sikh",c(-0.0212824, 51.5274395)
"252","Khalsa Centre Tooting","sikh",c(-0.162851, 51.4334963)
"253","Gurdwara Baba Buddha Sahib Ji","sikh",c(-0.0750376048160252, 51.4569684622487)
"254","Central Gurdwara (Khalsa Jatha)","sikh",c(-0.215790854458953, 51.5066591696685)
"255","Namdhari Gurdwara","sikh",c(0.0258732684441345, 51.543272618798)
"256","Shri Guru Singh Sabha - Southall Sikh Temple","sikh",c(-0.377779737122312, 51.5068609960388)
"257","Ramgarhia Sabha","sikh",c(-0.381261087565746, 51.5100309455144)
"258","Bhai Lalo Darbar","sikh",c(-0.38089236063419, 51.5099947148334)
"259","Guru Granth Gurdwara","sikh",c(-0.374620269448375, 51.507768266945)
"260","Gurudwara Sri Guru Singh Sabha","sikh",c(-0.380950637185779, 51.5004032962383)
"261","Shri Guru Ravi Dass Sabha Southall","sikh",c(-0.395077632329629, 51.4981129858135)
"262","Gurdwara Nanaksar","sikh",c(-0.378088322149194, 51.5220989002146)
"263","Gurdwara London Sikh Centre Ealing","sikh",c(-0.329754705640743, 51.5175261264604)
"264","Gurdwara Karamsar Temple","sikh",c(0.085785112777166, 51.5612387954118)
"265","Sri Guru Amardass Gurdwara","sikh",c(-0.382986861938147, 51.4992046327555)
"266","Gurdwara Sikh Sangat London East","sikh",c(-0.00277869759762835, 51.561374762876)
"267","Gurdwara Sri Guru Singh Sabha","sikh",c(-0.367169970766625, 51.4640533296936)
"268","Gurudwara Sri Guru Har Rai Sahib Ji","sikh",c(-0.288552059946829, 51.4011300204592)
"269","Dynamic Christian Centre","protestant",c(0.0060829, 51.5469199)
"270","French Protestant Church of London","protestant",c(-0.133008862593624, 51.5157255887285)
"271","New Apostolic Church","protestant",c(-0.202922303056613, 51.4954489892843)
"272","Pembroke Road Church","protestant",c(-0.145714250965995, 51.6047879292495)
"273","Barclay Christian Centre","protestant",c(-0.00855052312795953, 51.5733429787956)
"274","Deutsche Evangelische Christuskirche","protestant",c(-0.166392268682213, 51.4996525622371)
"275","The Bridge Christian Fellowship","protestant",c(-0.201960918143172, 51.5837446400745)
"276","Redeemed Christian Church Of God","protestant",c(0.00228110509802627, 51.5443553705056)
"277","New Testament Assembly Life Development Christian Centre","protestant",c(-0.0025197523883093, 51.5564498978559)
"278","Built on the Rock","protestant",c(-0.0214393373599683, 51.5746469954677)
"279","Grace Tabernacle","protestant",c(-0.0947570147752346, 51.3827257650318)
"280","St Luke's Church","protestant",c(0.0138113, 51.5134737)
"281","The Parish Church of Saint Matthew","protestant",c(-0.2147949, 51.5006069)
"282","The Samaritans","protestant",c(-0.0899059, 51.5127423)
"283","Hatton Mission Church","protestant",c(-0.4217004, 51.4657531)
"284","Richard Whittington","protestant",c(-0.0922353, 51.5112999)
"285","Ludgate","protestant",c(-0.1020849, 51.513996)
"286","Christ Church Chapel","protestant",c(-0.0480803, 51.438066)
"287","St Peter","protestant",c(-0.2875606, 51.6216456)
"288","King's College Chapel","protestant",c(-0.1158113, 51.5111332)
"289","William Wilberforce and 'The Clapham Sect'","protestant",c(-0.1423946, 51.4624296)
"290","St Brides","protestant",c(-0.105471424417868, 51.5137858290592)
"291","Saint Anne's Church","protestant",c(-0.0303159666410175, 51.5116745955471)
"292","Saint Mary's Church","protestant",c(-0.101702246767301, 51.5384067733205)
"293","St. John's, Fulham","protestant",c(-0.198777445226084, 51.4811312409857)
"294","St Philip and St James' Church","protestant",c(-0.359688296413055, 51.4560847661549)
"295","St Dunstan's","protestant",c(-0.0416508025002687, 51.516858344037)
"296","Saint Luke's","protestant",c(-0.0846838780355308, 51.6675962037612)
"297","St Leonard's Church","protestant",c(-0.131542030174488, 51.4295310590737)
"298","Christ Church","protestant",c(-0.265019021382813, 51.4920831885967)
"299","St Mary's Church","protestant",c(-0.0118094374762681, 51.5850608321291)
"300","All Saints Church","protestant",c(-0.306110912292909, 51.4104414759592)
"301","St John's Wood","protestant",c(-0.168393775971429, 51.5305798053499)
"302","St Paul's South Harrow","protestant",c(-0.360751219692149, 51.5642667041803)
"303","St George-in-the-East","protestant",c(-0.0597356587880476, 51.510027591803)
"304","St Paul's Shadwell","protestant",c(-0.0520263017626396, 51.5094268999858)
"305","St Nicholas Church","protestant",c(-0.194861883422689, 51.3625781327091)
"306","St Mark's Church","protestant",c(-0.10867833956107, 51.5300651867417)
"307","Christ Church, Sutton","protestant",c(-0.188671009562019, 51.3550005427339)
"308","Saint Matthew's","protestant",c(-0.115977237201644, 51.4596654956688)
"309","Saint James, Clapham","protestant",c(-0.132732237930392, 51.457647745589)
"310","St Clement Danes","protestant",c(-0.113878071962809, 51.513108389351)
"311","Saint Mary le Strand","protestant",c(-0.116810577984616, 51.5121923259894)
"312","Southwark Cathedral","protestant",c(-0.089604118776257, 51.5061065926629)
"313","St Alban","protestant",c(-0.263004827497766, 51.4958206269045)
"314","St Pancras Old Church","protestant",c(-0.130192037576927, 51.5349122955465)
"315","St. Luke's Kentish Town","protestant",c(-0.133772760099828, 51.5484245279876)
"316","Saint Saviour's","protestant",c(-0.0978837062428542, 51.4629722549624)
"317","The Parish Church of St Philip - Home to Libera","protestant",c(-0.125307491256036, 51.4047124703756)
