"","name","type","geometry"
"267","Theatre: UNI.T - Theater der UdK Berlin","theatre",c(13.3290202, 52.5098099)
"268","Theatre: Zimmertheater Kultschule","theatre",c(13.5026392, 52.4986573)
"269","Theatre: Kleinkunstkeller","theatre",c(13.4162666, 52.4925187)
"270","Theatre: Prime Time Theater","theatre",c(13.3633056, 52.5434945)
"271","Theatre: Die Musenstube","theatre",c(13.4319584, 52.4860391)
"272","Theatre: Theater im Keller","theatre",c(13.4277627, 52.48842)
"273","Theatre: Stage Theater am Potsdamer Platz","theatre",c(13.3721193, 52.5072208)
"274","Theatre: Dancetheater LaborGRAS.com","theatre",c(13.4214048, 52.4967578)
"275","Theatre: Kammerspiele","theatre",c(13.3813992, 52.524275)
"276","Theatre: Maxim-Gorki-Theater","theatre",c(13.3950767, 52.5190141)
"277","Theatre: BühnenRausch","theatre",c(13.4183206, 52.5514416)
"278","Theatre: Berliner Tschechow Theater","theatre",c(13.5682593, 52.5713652)
"279","Theatre: Theater unterm Turm","theatre",c(13.3267044, 52.4941597)
"280","Theatre: Kleine Nachtrevue","theatre",c(13.3479976, 52.5033188)
"281","Theatre: Tempodrom","theatre",c(13.381181, 52.5016098)
"282","Theatre: Kookaburra Comedy Club","theatre",c(13.410003, 52.5298014)
"283","Theatre: Freie Theateranstalten Berlin","theatre",c(13.2899708, 52.5182934)
"284","Theatre: Fabriktheater","theatre",c(13.3595034, 52.5342712)
"285","Theatre: Theater Artenschutz","theatre",c(13.3586326, 52.5205352)
"286","Theatre: Kabarett Knieriem","theatre",c(13.6000868, 52.4744133)
"287","Theatre: Garn Theater","theatre",c(13.376389, 52.487038)
"288","Theatre: Volksbühne am Rosa-Luxemburg-Platz","theatre",c(13.4119171, 52.527024)
"289","Theatre: Keller","theatre",c(13.4306601, 52.4824948)
"290","Theatre: Tischlerei","theatre",c(13.307806, 52.5133026)
"291","Theatre: Studiobühne","theatre",c(13.4422678, 52.5161677)
"292","Theatre: Schaubude Berlin","theatre",c(13.4389797, 52.540836)
"293","Theatre: Theater Nikolassee","theatre",c(13.2050769, 52.4249086)
"294","Theatre: Werkstatt","theatre",c(13.3186865, 52.5121317)
"295","Theatre: Theaterhof","theatre",c(13.2894916, 52.4523699)
"296","Theatre: Prenzlkasper","theatre",c(13.4250811, 52.5347035)
"297","Theatre: Spandauer Theater Varianta","theatre",c(13.2050154, 52.5390911)
"298","Theatre: Kulturversteck Tegel","theatre",c(13.2835311, 52.5918975)
