"","name","religion","geometry"
"306","Philippuskapelle","protestant",c(13.5180797499707, 52.5365342500287)
"307","St.-Pauls-Kirche","protestant",c(13.3804686834247, 52.5521711229022)
"308","Auferstehungskirche","protestant",c(13.4380294350535, 52.5210295323597)
"309","Berliner Dom","protestant",c(13.4010748912615, 52.5190848701991)
"310","Haus Gotteshilfe","protestant",c(13.4337216932168, 52.4786667054853)
"311","Segenskirche","protestant",c(13.3235294978626, 52.5704162632349)
"312","Dorfkirche Lichtenrade","protestant",c(13.4104836384917, 52.3915646286783)
"313","Heilige-Geist-Kirche","protestant",c(13.346381809837, 52.5306923163058)
"314","Evangelisch-Lutherische Paulus-Gemeinde","protestant",c(13.4382174880967, 52.4658975821085)
"315","Friedhofskapelle Rahnsdorf","protestant",c(13.6965850065184, 52.4380226125029)
"316","Kapelle im Sankt Joseph-Krankenhaus","protestant",c(13.3735718172645, 52.4781315637253)
"317","Golgatha-Kirche","protestant",c(13.3907057890091, 52.5290612419116)
"318","Tabeakirche","protestant",c(13.4718585025468, 52.4662179163662)
"319","Theodor-Fliedner-Heim","protestant",c(13.6053662025751, 52.4842233388849)
"320","Stadtmission Gemeinde Britz","protestant",c(13.4530464875678, 52.4450361096746)
"321","Hephatha-Kirche","protestant",c(13.4462416531513, 52.4417098179954)
"322","St. Bartholomäuskirche","protestant",c(13.4243916749597, 52.5273570333742)
"323","St. Marienkirche","protestant",c(13.4071851361909, 52.52056079725)
"324","Kaiser-Friedrich-Gedächtniskirche","protestant",c(13.3424210824406, 52.5152333596793)
"325","Dorfkirche Alt-Marzahn","protestant",c(13.5617212046133, 52.5429476126044)
"326","Kirchsaal der Evangelischen Kirchengemeinde Mariendorf-Ost","protestant",c(13.4034127909459, 52.4470819833752)
"327","Protestant Faith Fellowship","protestant",c(13.267155970051, 52.4559507228452)
"328","Landeskirchliche Gemeinschaft Westend","protestant",c(13.2822494774335, 52.5179698866315)
"329","Adventgemeinde Spandau","protestant",c(13.2071089, 52.5276476)
"330","Adventgemeinde Lichtenberg","protestant",c(13.4752532059952, 52.5040026729991)
"331","St. George’s Church","protestant",c(13.2586050191517, 52.5123611730484)
"332","Neuapostolische Kirche","protestant",c(13.5879667191894, 52.4631501378083)
"333","Evangelisch Freikirchliche Gemeinde Kreuzberg","protestant",c(13.3936149, 52.4889329)
"334","Freie evangelische Bibel-Baptisten-Gemeinde","protestant",c(13.44285, 52.4759311)
"335","Evangelisch-Freikirchliche Gemeinde K.d.ö.R.","protestant",c(13.3499542, 52.5751911)
"336","Baptisten-Gemeinde","protestant",c(13.4403343, 52.5527163)
"337","Gereja Bethel Indonesia Jemaat Bethany","protestant",c(13.4109071, 52.5117204)
"338","Evangelisch-Freikirchliche Gemeinde","protestant",c(13.405787, 52.4095908)
"339","Bethel-Gemeinde","protestant",c(13.3211132, 52.4278755)
"340","Evangelisch-Freikirchliche Gemeinde ""Zoar""","protestant",c(13.4114087, 52.5445845)
"341","Evangelisch-Freikirchliche Gemeinde Berlin-Spandau","protestant",c(13.2053108, 52.54734)
"342","Evangelisch-Freikirchliche Bethel-Gemeinde","protestant",c(13.2874309, 52.5872326)
"343","Baptistenkirche Wedding","protestant",c(13.3656764038709, 52.5437319158921)
"344","Evangelisch-Freikirchliche-Gemeinde (Baptisten) Berlin-Spandau-Wilhelmstadt","protestant",c(13.1947717598367, 52.5166066805339)
